rmat20
baseline time,2.0068561203893596e-05,1.151424426408561e-05,7.241880207922976e-06,3.7782074777374184e-06,2.2041230770759936e-06
gluon compute time,1.2977333875e-05,8.36561734375e-06,6.66130275e-06,3.7752512187499998e-06,2.2785010937499997e-06
gluon communication time,8.055613687499999e-07,1.0423090575e-06,9.91578125e-07,8.00109375e-07,6.38625e-07
gluon time,1.378289524375e-05,9.40792640125e-06,7.652880875e-06,4.57536059375e-06,2.9171260937499995e-06
gluon speedup,1.4560483010994296,1.2238875787289059,0.9462946472328274,0.8257726140533048,0.755580323318341

Round 3
master access (median),305.0,102.0,33.5,8.5,2.0
master access (average),350,130.8125,47.15625,14.421875,4.15625
master access (max),1008,500,267,91,25
mirror access (median),2091.0,1870.0,1093.5,619.0,311.5
mirror access (average),2431.625,2075.6875,1636.4375,1108.296875,709.3125
mirror access (max),7094,7814,8585,7162,6091
mirror write (median),108.5,167.0,143.5,113.0,66.5
mirror write (average),121.75,171.1875,206.34375,197.328125,166.5
mirror write (max),310,606,1026,1290,1487
mirror nodes sending updates (median),108.5,167.0,143.5,113.0,66.5
mirror nodes sending updates (average),121.75,171.1875,206.34375,197.328125,166.5
mirror nodes sending updates (max),310,606,1026,1290,1487
master nodes receiving updates (median),122.5,148.0,174.5,177.0,129.5
master nodes receiving updates (average),121.75,169.8125,201.625,183.671875,139.0859375
master nodes receiving updates (max),274,411,574,525,352

baseline local time,3.5784876532258065e-07,2.5741884870049507e-07,2.0261337768031188e-07,1.3363149781976742e-07,8.432270504791527e-08
baseline remote time,2.0881532258064517e-07,2.0489990717821782e-07,2.0918615984405457e-07,1.5744949127906978e-07,1.1770079228312038e-07
baseline time,3.5784876532258065e-07,2.5741884870049507e-07,2.0918615984405457e-07,1.5744949127906978e-07,1.1770079228312038e-07
gluon compute time,3.71029875e-07,2.9764934375e-07,2.6312675e-07,2.0158721875e-07,1.5870909375e-07
gluon communication time,7.7829271875e-09,1.8155154375e-08,3.647160125e-08,4.522259765625e-08,3.9102085000000006e-08
gluon time,3.788128021875e-07,3.15804498125e-07,2.9959835125000004e-07,2.4680981640624996e-07,1.9781117875e-07
gluon speedup,0.9446585840186499,0.8151209062215604,0.6982219994578643,0.6379385292354307,0.5950158784093509

Round 4
master access (median),2.0,0.5,0.0,0.0,0.0
master access (average),2.75,1.125,0.4375,0.125,0.0546875
master access (max),10,5,2,2,2
mirror access (median),21.5,13.0,9.5,5.0,1.0
mirror access (average),22.75,18.125,14.0625,9.828125,6.1875
