rmat16
master nodes receiving updates (average),12,17.125,18.125,14.921875
master nodes receiving updates (max),28,39,55,44

baseline local time,2.5193624999999997e-08,1.8086199999999998e-08,1.3554397321428571e-08,8.5775e-09
baseline remote time,1.845703125e-08,1.6649739583333333e-08,1.6214285714285716e-08,1.173681640625e-08
baseline time,2.5193624999999997e-08,1.8086199999999998e-08,1.6214285714285716e-08,1.173681640625e-08
gluon compute time,2.6453625e-08,2.1855e-08,1.874296875e-08,1.4447e-08
gluon communication time,1.012379375e-09,2.19485296875e-09,4.42532578125e-09,4.734090625e-09
gluon time,2.7466004375e-08,2.404985296875e-08,2.316829453125e-08,1.9181090625e-08
gluon speedup,0.9172657462667428,0.7520295456068243,0.6998480484791604,0.6118951542282284

Round 4
master access (median),0.0,0.0,0.0,0.0
master access (average),0.25,0,0,0.015625
master access (max),1,0,0,1
mirror access (median),0.5,0.0,0.0,0.0
mirror access (average),1.125,1.1875,0.96875,0.828125
mirror access (max),3,6,6,10
mirror write (median),0.0,0.0,0.0,0.0
mirror write (average),0.125,0.125,0.1875,0.203125
mirror write (max),1,2,2,3
mirror nodes sending updates (median),0.0,0.0,0.0,0.0
mirror nodes sending updates (average),0.125,0.125,0.1875,0.203125
mirror nodes sending updates (max),1,2,2,3
master nodes receiving updates (median),0.0,0.0,0.0,0.0
master nodes receiving updates (average),0.125,0.125,0.1875,0.203125
master nodes receiving updates (max),1,2,2,2

baseline local time,1.5221625000000002e-08,1.0687e-08,7.70296875e-09,5.545666666666666e-09
baseline remote time,9.375e-11,1.875e-10,1.71875e-10,2.0833333333333334e-10
baseline time,1.5221625000000002e-08,1.0687e-08,7.70296875e-09,5.545666666666666e-09
gluon compute time,1.5221625e-08,1.0687e-08,7.70296875e-09,5.599e-09
gluon communication time,3.615640625e-11,1.1255656250000001e-10,1.609209375e-10,2.151859375e-10
gluon time,1.5257781406249998e-08,1.07995565625e-08,7.8638896875e-09,5.8141859375e-09
gluon speedup,0.9976302972701401,0.9895776681340012,0.9795367249675703,0.9538165318894509

Round 5
master access (median),0.0,0.0,0.0,0.0
master access (average),0,0.0625,0.03125,0.015625
master access (max),0,1,1,1
mirror access (median),0.0,0.0,0.0,0.0
mirror access (average),0,0.0625,0.03125,0.015625
mirror access (max),0,1,1,1
mirror write (median),0.0,0.0,0.0,0.0
mirror write (average),0,0,0,0
mirror write (max),0,0,0,0
mirror nodes sending updates (median),0.0,0.0,0.0,0.0
mirror nodes sending updates (average),0,0,0,0
mirror nodes sending updates (max),0,0,0,0
master nodes receiving updates (median),0.0,0.0,0.0,0.0
master nodes receiving updates (average),0,0,0,0
master nodes receiving updates (max),0,0,0,0

baseline local time,1.5157625e-08,1.0607e-08,7.62296875e-09,5.439e-09
baseline remote time,0.0,1.5625e-11,1.5625e-11,1.5625e-11
baseline time,1.5157625e-08,1.0607e-08,7.62296875e-09,5.439e-09
gluon compute time,1.5157625e-08,1.0623e-08,7.63896875e-09,5.455e-09
gluon communication time,0.0,0.0,0.0,0.0
gluon time,1.5157625e-08,1.0623e-08,7.63896875e-09,5.455e-09
gluon speedup,1.0,0.9984938341334839,0.9979054764427463,0.9970669110907424

Round 6
master access (median),x,0.0,0.0,0.0
master access (average),x,0,0,0
master access (max),x,0,0,0
mirror access (median),x,0.0,0.0,0.0
mirror access (average),x,0,0,0
mirror access (max),x,0,0,0
mirror write (median),x,0.0,0.0,0.0
mirror write (average),x,0,0,0
mirror write (max),x,0,0,0
mirror nodes sending updates (median),x,0.0,0.0,0.0
mirror nodes sending updates (average),x,0,0,0
mirror nodes sending updates (max),x,0,0,0
master nodes receiving updates (median),x,0.0,0.0,0.0
master nodes receiving updates (average),x,0,0,0
master nodes receiving updates (max),x,0,0,0

baseline local time,x,1.0591e-08,7.60696875e-09,5.423e-09
baseline remote time,x,0.0,0.0,0.0
baseline time,x,1.0591e-08,7.60696875e-09,5.423e-09
gluon compute time,x,1.0591e-08,7.60696875e-09,5.423e-09
gluon communication time,x,0.0,0.0,0.0
gluon time,x,1.0591e-08,7.60696875e-09,5.423e-09
gluon speedup,x,1.0,1.0,1.0

