rmat20
gluon compute time,2.41397875e-07,1.6462534375e-07,1.2152675000000002e-07,8.557121874999999e-08,6.088509375e-08
gluon communication time,0.0,0.0,0.0,2.834888565966173e-12,3.8944264038769656e-12
gluon time,2.41397875e-07,1.6462534375e-07,1.2152675000000002e-07,8.557405363856595e-08,6.088898817640388e-08
gluon speedup,1.0,1.0,0.9997366834873803,0.999592926978625,0.9994104939582854

Round 6
master access,x,x,0,0,0
max host master access,x,x,0,0,0
mirror access,x,x,0,0,0
max host mirror access,x,x,0,0,0
mirror write,x,x,0,0,0
mirror update_ratio,x,x,0.0,0.0,0.0
baseline local time,x,x,1.2149475e-07,8.553921875e-08,6.085309375e-08
baseline remote time,x,x,0.0,0.0,0.0
baseline time,x,x,1.2149475e-07,8.553921875e-08,6.085309375e-08
gluon compute time,x,x,1.2149475e-07,8.553921875e-08,6.085309375e-08
gluon communication time,x,x,0.0,0.0,0.0
gluon time,x,x,1.2149475e-07,8.553921875e-08,6.085309375e-08
gluon speedup,x,x,1.0,1.0,1.0

