data_200
hosts,8,16,32,64,128
replication factor,2.36108,2.50133,2.63464,2.75481,2.90411
total master nodes,18677578,18677578,18677578,18677578,18677578
master nodes imbalance,2.1902749917574966,2.2369409995236,2.2603907208953964,2.273507625025043,2.280950131756912
total mirror nodes,25421757,28041289,30531190,32775677,35564099
mirror nodes imbalance,2.7627934607352276,2.6205830980166427,2.451343429456893,4.025371375242684,9.486312587308904

rounds,10,10,10,10,10
total master access,161960526,101984170,63678798,53229196,44382600
total mirror access,574521892,634498248,672803620,683253222,692099818
total mirror write,287260946,317249124,336401810,341626611,346049909
baseline time,0.014006056749999999,0.007355702499999999,0.004062571,0.0024839165,0.00146739325
gluon time,0.00540157023553623,0.0026706965710614644,0.0012875413300690408,0.00092411290744266,0.000823433602040439
gluon speedup,2.5929602206884153,2.7542262118816763,3.155293663297128,2.6878928754213116,1.7820419841549484

Round 0
master access,26322524,17249752,11143700,9366318,7978020
max host master access,8494772,3467990,1105388,728472,213664
mirror access,114024092,123096864,129202916,130980298,132368596
max host mirror access,16641950,9321970,4737700,4737700,3722742
mirror write,57012046,61548432,64601458,65490149,66184298
mirror update_ratio,2.2426477446071096,2.194921638588012,2.115916805077038,1.9981326091296299,1.8609862153403633
baseline local time,0.00013667700431375002,5.5876269387499997e-05,1.7882458635e-05,1.1754246732499999e-05,3.46813290875e-06
baseline remote time,0.00208024375,0.00116524625,0.0005922125,0.0005922125,0.00046534275
baseline time,0.00208024375,0.00116524625,0.0005922125,0.0005922125,0.00046534275
gluon compute time,0.00040294820431375,0.00020502778938750001,9.3685658635e-05,8.755744673250001e-05,6.303200490875e-05
gluon communication time,0.0005336698993325722,0.00026242807926642707,0.00012462813185333608,0.00010103780480065033,0.00011689157581426342
gluon time,0.0009366181036463222,0.0004674558686539271,0.00021831379048833607,0.00018859525153315033,0.00017992358072301342
gluon speedup,2.221015952928371,2.492740658824994,2.7126664727652208,3.1401241292435396,2.5863355327303106

Round 1
master access,20213708,12431508,7575418,6340852,5216854
max host master access,7875866,3180306,937438,672666,168428
mirror access,77515760,85297960,90154050,91388616,92512614
max host mirror access,16191224,8217880,4142372,2079502,1041794
mirror write,38757880,42648980,45077025,45694308,46256307
